,Id,Alley,Fence,SalePrice,LotArea,OverallQual,YearRemodAdd,YearBuilt,MasVnrArea,TotalBsmtSF,GrLivArea,FullBath,GarageCars,Fireplaces,WoodDeckSF,OpenPorchSF,SaleCondition,KitchenQual,Heating,GarageType
240,241,,,262500,9000,8,2008,2008,36.0,1566,1566,2,2,0,144,168,Normal,Gd,GasA,Attchd
241,242,,,110500,3880,5,1997,1945,0.0,686,866,1,0,0,58,42,Normal,Gd,GasA,
242,243,,,79000,5000,5,1950,1900,0.0,540,1440,1,1,0,0,0,Normal,TA,GasA,Attchd
243,244,,,120000,10762,6,1980,1980,0.0,626,1217,1,1,1,0,28,Normal,TA,GasA,Attchd
244,245,,,205000,8880,7,2002,1994,0.0,948,2110,2,2,2,0,130,Normal,Gd,GasA,Attchd
245,246,,,241500,10400,7,1988,1988,102.0,1845,1872,2,2,1,197,39,Normal,TA,GasA,Attchd
246,247,Grvl,,137000,9142,6,1950,1910,0.0,1020,1928,2,1,0,0,60,Normal,Fa,GasA,Detchd
247,248,,,140000,11310,6,1954,1954,0.0,1367,1375,1,2,1,0,30,Normal,TA,GasA,Attchd
248,249,,,180000,11317,7,2003,2003,101.0,840,1668,2,2,0,144,68,Normal,Gd,GasA,Attchd
249,250,,,277000,159000,6,2006,1958,472.0,1444,2144,2,2,2,0,98,Normal,Gd,GasA,Attchd
250,251,,GdWo,76500,5350,3,1966,1940,0.0,728,1306,1,0,0,263,0,Normal,Fa,GasA,
251,252,,,235000,4750,8,2007,2006,481.0,1573,1625,2,2,1,123,0,Family,Gd,GasA,Attchd
252,253,,,173000,8366,6,2004,2004,0.0,798,1640,2,2,0,138,45,Normal,Gd,GasA,Attchd
253,254,,MnPrv,158000,9350,6,1991,1964,108.0,1302,1302,2,1,0,333,0,Normal,Gd,GasA,Attchd
254,255,,,145000,8400,5,1957,1957,0.0,1314,1314,1,1,0,250,0,Normal,TA,GasA,Attchd
255,256,,,230000,8738,7,1999,1999,302.0,975,2291,2,2,1,192,0,Normal,Gd,GasA,BuiltIn
256,257,,,207500,8791,6,2003,2003,0.0,864,1728,2,2,0,216,56,Normal,Gd,GasA,Attchd
257,258,,,220000,8814,7,2006,2006,180.0,1604,1604,2,2,1,123,110,Abnorml,Gd,GasA,Attchd
258,259,,,231500,12435,7,2001,2001,172.0,963,1792,2,2,1,0,96,Normal,Gd,GasA,Attchd
259,260,,,97000,12702,5,1956,1956,0.0,0,882,1,1,0,0,45,Normal,TA,GasA,Detchd
260,261,,GdWo,176000,19296,6,1962,1962,399.0,1362,1382,1,2,1,0,0,Normal,TA,GasA,Attchd
261,262,,,276000,9588,8,2007,2007,270.0,1482,2574,2,3,1,0,148,Partial,Ex,GasA,BuiltIn
262,263,,GdWo,151000,8471,6,1995,1977,46.0,506,1212,1,2,1,292,12,Normal,TA,GasA,Attchd
263,264,,,130000,5500,5,2001,1929,0.0,926,1316,1,2,0,0,0,Normal,TA,GasA,Detchd
264,265,Grvl,,73000,5232,5,2004,1925,0.0,680,764,1,2,0,0,0,Normal,TA,GasA,Detchd
265,266,,GdPrv,175500,12090,6,1981,1981,210.0,1422,1422,2,2,1,276,0,Normal,Gd,GasA,Attchd
266,267,,,185000,11207,6,1997,1997,0.0,802,1511,2,2,1,95,75,Normal,TA,GasA,Attchd
267,268,,,179500,8400,5,1997,1939,0.0,720,2192,2,1,1,262,24,Normal,Gd,GasA,Detchd
268,269,,,120500,6900,5,1955,1940,0.0,740,778,1,1,1,0,25,Normal,TA,GasA,Detchd
269,270,,GdPrv,148000,7917,6,1976,1976,174.0,1143,1113,1,1,1,370,30,Normal,TA,GasA,Attchd
270,271,,,266000,10728,8,2006,2006,0.0,1095,1939,2,3,1,192,51,Partial,Gd,GasA,Attchd
271,272,,,241500,39104,7,2005,1954,0.0,1385,1363,1,2,2,81,0,Normal,TA,GasA,Attchd
272,273,,,290000,11764,8,2007,1999,348.0,1152,2270,2,3,1,132,57,Normal,Gd,GasA,Attchd
273,274,,MnPrv,139000,9600,6,1988,1958,183.0,1240,1632,2,1,1,289,0,Normal,TA,GasA,Attchd
274,275,,,124500,8314,5,1982,1982,0.0,816,816,1,1,0,168,0,Normal,TA,GasA,Attchd
275,276,,,205000,7264,7,2007,1925,0.0,952,1548,2,2,0,74,0,Normal,Ex,GasW,Detchd
276,277,,,201000,9196,7,2003,2003,0.0,1560,1560,2,2,0,100,150,Normal,Gd,GasA,Attchd
277,278,,,141000,19138,4,1951,1951,0.0,864,864,1,2,0,0,0,Normal,TA,GasA,Detchd
278,279,,,415298,14450,9,2007,2006,315.0,2121,2121,2,3,1,124,98,Partial,Ex,GasA,Attchd
279,280,,,192000,10005,7,1977,1977,299.0,1160,2022,2,2,1,288,117,Normal,TA,GasA,Attchd
280,281,,,228500,11287,7,1989,1989,340.0,807,1982,2,2,1,0,84,Normal,Gd,GasA,Attchd
281,282,Pave,,185000,7200,6,2006,2006,68.0,1262,1262,2,2,0,0,120,Partial,Gd,GasA,Attchd
282,283,,,207500,5063,7,2008,2007,166.0,1314,1314,2,2,1,172,62,Normal,Gd,GasA,Attchd
283,284,,,244600,9612,8,2009,2008,72.0,1468,1468,2,3,1,210,150,Partial,Gd,GasA,Attchd
284,285,,,179200,8012,6,1992,1992,0.0,1575,1575,2,2,0,0,0,Normal,Gd,GasA,Attchd
285,286,Pave,,164700,4251,7,2007,2006,0.0,625,1250,2,2,0,0,54,Partial,Gd,GasA,Detchd
286,287,,GdPrv,159000,9786,6,1981,1962,0.0,912,1734,1,2,1,0,0,Normal,Gd,GasA,Attchd
287,288,,,88000,8125,4,1971,1971,0.0,858,858,1,0,0,0,0,Normal,TA,GasA,
288,289,,MnPrv,122000,9819,5,1967,1967,31.0,882,900,1,1,0,0,0,Normal,TA,GasA,Detchd
289,290,,,153575,8730,6,2003,1915,0.0,698,1396,1,1,0,0,0,Normal,TA,GasA,Detchd
290,291,,,233230,15611,8,2006,2006,0.0,1079,1919,2,2,1,0,51,Partial,Gd,GasA,Attchd
291,292,Grvl,,135900,5687,5,2000,1912,0.0,780,1716,2,0,0,0,184,Normal,Fa,GasA,
292,293,,,131000,11409,5,2008,1949,0.0,768,1716,1,1,1,0,0,Normal,TA,GasA,Attchd
293,294,,,235000,16659,7,1994,1977,34.0,795,2263,2,2,1,0,250,Normal,Gd,GasA,Attchd
294,295,,,167000,9600,6,1953,1953,238.0,1416,1644,1,2,2,110,0,Normal,TA,GasA,Attchd
295,296,,GdPrv,142500,7937,6,1984,1984,0.0,1003,1003,1,2,0,120,0,Normal,TA,GasA,Detchd
296,297,,MnPrv,152000,13710,5,1950,1950,0.0,910,1558,1,1,0,289,0,Normal,TA,GasA,Attchd
297,298,Pave,,239000,7399,7,1998,1997,1600.0,975,1950,2,2,1,0,10,Normal,Gd,GasA,Detchd
298,299,,,175000,11700,6,1968,1968,365.0,702,1743,1,2,1,224,0,Normal,TA,GasA,Attchd
299,300,,GdPrv,158500,14000,6,2004,1950,0.0,1092,1152,1,1,1,0,36,Family,Gd,GasA,Attchd
300,301,,,157000,15750,5,1953,1953,56.0,1165,1336,1,1,2,0,0,Normal,TA,GasA,Attchd
301,302,,,267000,16226,8,1999,1998,0.0,1028,2452,2,2,1,208,50,Normal,Gd,GasA,BuiltIn
302,303,,,205000,13704,7,2002,2001,150.0,1541,1541,2,3,1,468,81,Normal,Gd,GasA,Attchd
303,304,,GdWo,149900,9800,5,1972,1972,0.0,894,894,1,2,0,256,0,Abnorml,TA,GasA,Attchd
304,305,,,295000,18386,7,2002,1880,0.0,1470,3493,3,3,1,302,0,Normal,Gd,GasA,Attchd
305,306,,,305900,10386,8,2005,2004,246.0,2000,2000,2,3,0,168,0,Normal,Gd,GasA,Attchd
306,307,,,225000,13474,7,1991,1990,246.0,700,2243,2,3,1,127,44,Normal,Gd,GasA,Attchd
307,308,Grvl,MnPrv,89500,7920,6,1950,1920,0.0,319,1406,1,0,0,0,144,Normal,Fa,GasA,
308,309,,,82500,12342,4,1950,1940,0.0,861,861,1,2,0,158,0,Normal,TA,GasA,Detchd
309,310,,,360000,12378,9,2004,2003,0.0,1896,1944,2,3,3,208,175,Normal,Ex,GasA,Attchd
310,311,,,165600,7685,6,1994,1993,112.0,697,1501,2,2,1,190,63,Normal,Gd,GasA,Attchd
311,312,,,132000,8000,6,2002,1948,0.0,972,972,1,1,1,0,0,Normal,TA,GasA,Detchd
312,313,,MnPrv,119900,7800,5,1950,1939,0.0,793,1118,1,2,1,0,0,Normal,TA,GasA,Detchd
313,314,,,375000,215245,7,1965,1965,0.0,2136,2036,2,2,2,0,0,Normal,TA,GasW,Attchd
314,315,Grvl,,178000,9600,7,1990,1925,0.0,728,1641,1,2,1,0,0,Normal,Ex,GasA,Detchd
315,316,,,188500,7795,7,2005,2004,0.0,716,1432,2,2,1,100,51,Normal,Gd,GasA,Attchd
316,317,,GdPrv,260000,13005,7,1980,1980,278.0,845,2353,2,2,1,288,195,Normal,Ex,GasA,Attchd
317,318,,,270000,9000,8,2006,2006,0.0,1088,1959,2,3,1,208,46,Normal,Gd,GasA,Attchd
318,319,,,260000,9900,7,1993,1993,256.0,1347,2646,2,3,1,340,60,Normal,Gd,GasA,Attchd
319,320,,,187500,14115,7,1980,1980,225.0,1372,1472,2,2,2,233,48,Normal,TA,GasA,Attchd
320,321,,,342643,16259,9,2006,2006,370.0,1249,2596,3,3,0,240,154,Partial,Gd,GasA,Attchd
321,322,,,354000,12099,8,2004,2004,388.0,1136,2468,2,3,1,184,154,Normal,Gd,GasA,BuiltIn
322,323,,MnPrv,301000,10380,7,1987,1986,172.0,1502,2730,2,2,1,201,96,Normal,Gd,GasA,Attchd
323,324,,,126175,5820,3,2005,1955,0.0,1162,1163,1,1,0,142,98,Normal,TA,GasA,Attchd
324,325,,,242000,11275,7,2007,1967,300.0,710,2978,2,2,1,240,0,Normal,Gd,GasA,BuiltIn
325,326,,,87000,5000,5,1950,1941,0.0,720,803,1,2,0,0,0,Normal,TA,GasA,Detchd
326,327,,,324000,10846,8,1993,1993,0.0,1719,1719,1,2,2,122,30,Normal,Gd,GasA,Attchd
327,328,,,145250,11600,6,1960,1960,175.0,1383,1383,1,1,0,0,45,Normal,TA,GasA,Attchd
328,329,Pave,,214500,11888,6,1994,1916,0.0,844,2134,2,2,0,0,60,Normal,Gd,GasA,Detchd
329,330,,GdWo,78000,6402,5,1950,1920,0.0,596,1192,1,1,0,0,0,Normal,TA,GasA,Detchd
330,331,,,119000,10624,5,1964,1964,84.0,1728,1728,2,1,0,155,0,Normal,TA,GasA,Detchd
331,332,,,139000,8176,5,1992,1958,0.0,1056,1056,1,1,0,0,0,Normal,TA,GasA,Attchd
332,333,,,284000,10655,8,2004,2003,296.0,3206,1629,2,3,1,0,0,Normal,Gd,GasA,Attchd
333,334,,,207000,8198,7,2004,2004,146.0,1358,1358,2,2,1,192,30,Normal,Gd,GasA,Attchd
334,335,,,192000,9042,6,1998,1998,0.0,943,1638,2,2,2,100,38,Normal,TA,GasA,Attchd
335,336,,,228950,164660,5,1965,1965,0.0,1499,1786,2,2,2,670,0,Normal,TA,GasA,Attchd
336,337,,,377426,14157,9,2006,2005,200.0,1922,1922,2,3,1,178,51,Normal,Gd,GasA,Attchd
337,338,,,214000,9135,7,2003,2002,113.0,1536,1536,2,2,0,192,74,Normal,Gd,GasA,Attchd
338,339,,,202500,14145,7,1998,1984,0.0,1208,1621,2,2,0,108,45,Normal,Gd,GasA,Attchd
339,340,,,155000,12400,6,1998,1958,176.0,1215,1215,1,1,0,0,0,Normal,TA,GasA,Attchd
340,341,,,202900,14191,8,2002,2002,0.0,967,1908,2,2,0,135,0,Normal,Gd,GasA,Attchd
341,342,,,82000,8400,4,1950,1950,0.0,721,841,1,1,0,250,0,Normal,TA,GasA,CarPort
342,343,,,87500,8544,3,1950,1949,340.0,0,1040,2,2,0,0,0,Normal,TA,Wall,Detchd
343,344,,,266000,8849,9,2005,2005,616.0,1684,1684,2,2,1,495,72,Normal,Ex,GasA,Attchd
344,345,,,85000,2592,5,1976,1976,0.0,536,1112,1,1,0,182,0,Normal,TA,GasA,Attchd
345,346,,,140200,6435,6,1950,1939,0.0,972,1577,1,1,1,0,0,Normal,Fa,GasA,Detchd
346,347,,,151500,12772,6,1998,1960,0.0,958,958,1,1,0,0,0,Normal,TA,GasA,Attchd
347,348,,,157500,17600,6,1960,1960,30.0,1478,1478,2,2,2,0,40,Normal,TA,GasA,Attchd
348,349,,,154000,2448,7,2004,2003,106.0,764,1626,2,2,0,0,27,Normal,Gd,GasA,BuiltIn
349,350,,,437154,20431,9,2006,2005,870.0,1848,2728,2,3,2,0,0,Partial,Ex,GasA,Attchd
350,351,,,318061,7820,9,2007,2007,362.0,1869,1869,2,2,1,210,54,Partial,Ex,GasA,Attchd
351,352,,,190000,5271,7,1986,1986,0.0,1453,1453,1,2,1,0,80,Abnorml,Gd,GasA,Attchd
352,353,,,95000,9084,5,1950,1941,0.0,616,1111,1,1,0,48,0,Normal,TA,GasA,Detchd
353,354,,,105900,8520,6,2003,1928,0.0,624,720,1,2,0,106,0,Normal,TA,GasA,Detchd
354,355,,,140000,8400,6,2000,1940,0.0,940,1595,1,1,2,0,0,Normal,TA,GasA,Attchd
355,356,,,177500,11249,6,1995,1995,0.0,1200,1200,2,2,0,0,26,Normal,Gd,GasA,Attchd
356,357,,,173000,9248,6,1992,1992,106.0,1158,1167,2,2,0,120,26,Normal,Gd,GasA,Attchd
357,358,,MnPrv,134000,4224,5,1976,1976,0.0,1142,1142,1,2,1,536,90,Normal,TA,GasA,Attchd
358,359,,,130000,6930,5,1958,1958,120.0,1062,1352,1,1,0,168,0,Abnorml,Gd,GasA,BuiltIn
359,360,,,280000,12011,8,1998,1998,530.0,1086,1924,2,2,1,208,75,Normal,Gd,GasA,Attchd
360,361,,MnPrv,156000,7540,6,1978,1978,0.0,888,912,1,2,1,0,0,Normal,TA,GasA,Attchd
361,362,Pave,,145000,9144,5,1982,1940,0.0,883,1505,1,1,0,0,0,Normal,TA,GasA,Detchd
362,363,,,198500,7301,7,2003,2003,500.0,0,1922,3,2,1,0,0,Normal,Gd,GasA,BuiltIn
363,364,,,118000,1680,6,2007,1972,510.0,483,987,1,1,0,250,0,Normal,Gd,GasA,Detchd
364,365,,,190000,18800,6,1976,1976,120.0,796,1574,2,2,1,306,111,Normal,TA,GasA,Attchd
365,366,,,147000,10690,5,1997,1920,0.0,672,1344,1,1,0,0,128,Normal,TA,GasA,Detchd
366,367,,,159000,9500,6,1963,1963,247.0,1394,1394,1,2,2,0,76,Normal,TA,GasA,Attchd
367,368,,,165000,9150,6,1962,1962,305.0,1099,1431,1,1,1,64,110,Normal,TA,GasA,Basment
368,369,,,132000,7800,5,1954,1954,200.0,1268,1268,1,1,1,0,98,Normal,TA,GasA,Attchd
369,370,,,162000,9830,5,2006,1959,0.0,1063,1287,1,2,1,364,17,Normal,Gd,GasA,Detchd
370,371,,,172400,8121,6,2000,2000,0.0,953,1664,2,2,1,100,40,Normal,TA,GasA,Attchd
371,372,,,134432,17120,4,1959,1959,0.0,0,1588,2,2,1,0,59,Normal,TA,GasA,Detchd
372,373,,MnPrv,125000,7175,6,1984,1984,0.0,744,752,1,1,0,353,0,Normal,TA,GasA,Attchd
373,374,,GdWo,123000,10634,5,1953,1953,0.0,608,1319,1,1,0,66,0,Normal,TA,GasA,Attchd
374,375,,,219500,8200,7,2004,2003,0.0,847,1928,2,2,1,100,48,Normal,Gd,GasA,BuiltIn
375,376,,,61000,10020,1,1950,1922,0.0,683,904,0,0,0,0,0,Normal,Fa,GasA,
376,377,,,148000,8846,5,1996,1996,0.0,870,914,1,2,0,0,0,Normal,TA,GasA,Detchd
377,378,,,340000,11143,8,2005,2004,0.0,1580,2466,3,2,1,159,214,Normal,Gd,GasA,Attchd
378,379,,,394432,11394,9,2010,2010,350.0,1856,1856,1,3,1,113,0,Partial,Ex,GasA,Attchd
379,380,,,179000,8123,6,2000,2000,16.0,982,1800,2,2,1,100,63,Normal,TA,GasA,Attchd
380,381,Pave,,127000,5000,5,1950,1924,0.0,1026,1691,2,1,1,0,0,Normal,Gd,GasA,Detchd
381,382,Pave,,187750,7200,7,2006,2006,0.0,1293,1301,2,2,1,216,121,Partial,Gd,GasA,Attchd
382,383,,,213500,9245,7,2006,2006,0.0,939,1797,2,2,0,144,53,Normal,Gd,GasA,Attchd
383,384,,,76000,9000,6,1950,1928,0.0,784,784,1,2,0,0,0,Normal,TA,GasA,Detchd
384,385,,,240000,53107,6,1992,1992,0.0,1580,1953,2,2,2,216,231,Normal,Gd,GasA,Attchd
385,386,,,192000,3182,8,2005,2004,16.0,1256,1269,2,2,1,146,20,Normal,Gd,GasA,Attchd
386,387,,,81000,8410,5,1996,1910,0.0,658,1184,1,0,0,0,151,AdjLand,TA,GasA,
387,388,,GdWo,125000,7200,6,1976,1976,255.0,1041,1125,1,1,1,296,0,Abnorml,TA,GasA,Detchd
388,389,,,191000,9382,7,2000,1999,125.0,1468,1479,2,2,0,120,25,Normal,Gd,GasA,Attchd
389,390,,,426000,12474,10,2008,2007,272.0,1682,2332,2,3,1,196,134,Partial,Ex,GasA,BuiltIn
390,391,Grvl,MnPrv,119000,8405,5,1950,1900,0.0,861,1367,1,1,0,0,130,Normal,TA,GasA,Detchd
391,392,,,215000,12209,6,2002,2001,0.0,804,1961,2,2,1,125,192,Normal,Gd,GasA,BuiltIn
392,393,,MnPrv,106500,8339,5,1959,1959,0.0,0,882,1,1,0,0,0,Normal,TA,GasA,Attchd
393,394,,GdWo,100000,7446,4,1950,1941,0.0,788,788,1,0,2,0,0,Abnorml,TA,GasA,
394,395,,,109000,10134,5,1950,1940,0.0,735,1034,1,1,0,0,39,Normal,TA,GasA,Detchd
395,396,,,129000,9571,5,1956,1956,0.0,1144,1144,1,1,0,44,0,Normal,TA,GasA,Attchd
396,397,,,123000,7200,5,1972,1972,0.0,894,894,1,2,0,215,0,Normal,TA,GasA,Detchd
397,398,,,169500,7590,5,1962,1962,288.0,864,1812,2,1,1,0,168,Normal,TA,GasA,Attchd
398,399,,,67000,8967,5,1950,1920,0.0,961,1077,1,1,0,0,0,Abnorml,TA,GasA,Detchd
399,400,,,241000,8125,7,2007,2006,100.0,1092,1550,2,2,0,0,168,Normal,Gd,GasA,Attchd
400,401,,,245500,14963,8,1996,1996,0.0,1260,1288,1,2,2,120,30,Normal,Ex,GasA,Attchd
401,402,,,164990,8767,7,2005,2005,0.0,1310,1310,2,2,1,0,0,Partial,Gd,GasA,Attchd
402,403,,GdPrv,108000,10200,5,1997,1940,0.0,672,672,1,1,0,168,0,Normal,TA,GasA,Detchd
403,404,,,258000,12090,8,1998,1998,650.0,1141,2263,2,2,1,144,123,Abnorml,Gd,GasA,BuiltIn
404,405,,,168000,10364,6,1996,1995,0.0,806,1572,2,2,1,0,40,Normal,TA,GasA,BuiltIn
405,406,,GdWo,150000,9991,4,1993,1976,0.0,1281,1620,2,2,1,120,78,Normal,TA,GasA,Attchd
406,407,,,115000,10480,6,1950,1936,0.0,1064,1639,1,1,0,0,0,Normal,TA,GasA,Detchd
407,408,,,177000,15576,6,1976,1915,0.0,840,1680,2,1,0,0,0,Normal,TA,GasA,Attchd
408,409,,,280000,14154,7,2006,2006,350.0,1063,2172,2,3,1,192,62,Partial,Gd,GasA,Attchd
409,410,,,339750,10800,8,2008,2007,100.0,1034,2078,2,3,1,0,102,Partial,Ex,GasA,Attchd
410,411,,,60000,9571,5,1958,1958,0.0,1276,1276,1,1,0,0,0,Abnorml,TA,GasA,Attchd
411,412,,,145000,34650,5,1955,1955,0.0,1056,1056,1,2,0,264,0,Normal,TA,GasA,Attchd
412,413,,,222000,4403,7,2009,2009,432.0,1470,1478,2,2,1,0,144,Partial,Gd,GasA,Attchd
413,414,Grvl,,115000,8960,5,1950,1927,0.0,1008,1028,1,2,1,0,0,Normal,TA,GasA,Detchd
414,415,,,228000,11228,7,1993,1993,0.0,1080,2097,2,3,1,196,187,Normal,Gd,GasA,Attchd
415,416,,,181134,8899,7,2007,2007,0.0,1340,1340,2,2,0,100,30,Partial,Gd,GasA,Attchd
416,417,,,149500,7844,6,1978,1978,203.0,672,1400,1,2,1,0,0,Normal,TA,GasA,Attchd
417,418,,,239000,22420,6,1950,1918,0.0,1370,2624,2,3,1,0,0,Normal,TA,GasW,Detchd
418,419,,,126000,8160,5,1950,1940,0.0,756,1134,1,1,0,0,0,AdjLand,TA,GasA,Detchd
419,420,,,142000,8450,5,1968,1968,0.0,1056,1056,1,1,1,0,85,Normal,TA,GasA,Attchd
420,421,,,206300,7060,7,1998,1997,200.0,1344,1344,2,4,0,0,0,Alloca,TA,GasA,Attchd
421,422,,,215000,16635,6,2000,1977,126.0,1602,1602,2,2,1,240,0,Normal,Gd,GasA,Attchd
422,423,,,113000,21750,5,1954,1954,0.0,988,988,1,2,0,0,0,Normal,TA,GasA,Attchd
423,424,,,315000,9200,8,1998,1998,473.0,1470,2630,2,3,1,0,66,Normal,Gd,GasA,Attchd
424,425,,,139000,9000,6,1956,1956,74.0,1196,1196,1,1,1,0,44,Normal,TA,GasA,Attchd
425,426,Grvl,,135000,3378,7,1992,1946,0.0,651,1389,1,1,2,0,0,Normal,TA,GasA,Detchd
426,427,,,275000,12800,7,1989,1989,145.0,1518,1644,2,2,1,80,0,Normal,Gd,GasA,Attchd
427,428,,,109008,8593,4,1957,1957,0.0,907,907,1,1,0,0,0,Normal,TA,GasA,Detchd
428,429,,,195400,6762,7,2007,2007,108.0,1208,1208,2,2,0,105,54,Partial,Gd,GasA,Attchd
429,430,,,175000,11457,6,1988,1988,0.0,1392,1412,2,2,1,0,0,Normal,Gd,GasA,Attchd
430,431,,,85400,1680,6,1971,1971,232.0,483,987,1,1,0,0,0,Abnorml,TA,GasA,Detchd
431,432,,MnPrv,79900,5586,6,1998,1920,0.0,901,1198,1,0,0,0,98,Abnorml,TA,GasA,
432,433,,,122500,1920,5,1971,1971,376.0,765,1365,1,2,0,240,36,Normal,TA,GasA,Detchd
433,434,,,181000,10839,6,1998,1997,0.0,926,1604,2,2,1,0,36,Normal,TA,GasA,Attchd
434,435,,,81000,1890,4,1972,1972,0.0,630,630,1,0,0,88,0,Normal,TA,GasA,
435,436,,,212000,10667,7,1996,1996,0.0,799,1661,2,2,1,158,61,Normal,Gd,GasA,Attchd
436,437,,,116000,4400,6,1950,1920,0.0,648,1118,1,2,0,0,0,Normal,TA,GasA,Detchd
437,438,,,119000,6000,6,2004,1926,0.0,884,904,1,1,0,0,0,Normal,TA,GasA,Detchd
438,439,,MnPrv,90350,4280,5,2002,1913,0.0,440,694,1,1,1,0,0,Normal,Gd,GasA,Detchd
439,440,Grvl,GdPrv,110000,12354,6,2000,1920,0.0,684,1196,1,2,0,0,46,Normal,Gd,GasA,Detchd
440,441,,,555000,15431,10,2008,2008,200.0,3094,2402,2,3,2,0,72,Normal,Ex,GasA,Attchd
441,442,,,118000,12108,4,1955,1955,270.0,1440,1440,2,0,0,0,0,Normal,Fa,GasA,
442,443,,,162900,6240,5,1992,1930,0.0,1078,1573,2,2,1,0,0,Normal,TA,GasA,Detchd
443,444,,,172500,3922,7,2007,2006,72.0,1258,1258,2,3,1,144,16,Partial,Gd,GasA,Attchd
444,445,,,210000,8750,7,1995,1994,0.0,915,1908,2,2,1,144,133,Normal,Gd,GasA,Attchd
445,446,,MnPrv,127500,9855,6,1956,1956,0.0,1436,1689,1,2,1,0,0,Normal,TA,GasA,Attchd
446,447,,,190000,16492,6,2002,1966,0.0,1517,1888,2,2,1,0,0,Normal,Gd,GasA,Attchd
447,448,,,199900,11214,7,1999,1998,0.0,930,1886,2,2,1,89,0,Normal,Gd,GasA,Attchd
448,449,,,119500,8600,6,1950,1937,0.0,780,1376,2,1,1,0,0,Normal,TA,GasA,Detchd
449,450,,,120000,6000,3,2002,1948,0.0,649,1183,1,1,0,0,176,Normal,TA,GasA,Detchd
450,451,,,110000,5684,6,2005,1930,0.0,813,813,1,1,0,0,113,Normal,Gd,GasA,Detchd
451,452,,,280000,70761,7,1975,1975,0.0,1533,1533,2,2,2,200,54,Normal,Gd,GasA,Attchd
452,453,,,204000,9303,6,1997,1996,42.0,872,1756,2,2,0,144,122,Normal,TA,GasA,Attchd
453,454,,,210000,9000,8,2008,2008,0.0,768,1590,2,2,0,0,30,Normal,Gd,GasA,Attchd
454,455,,,188000,9297,5,1976,1976,0.0,1728,1728,2,2,0,0,0,Family,TA,GasA,Detchd
455,456,,,175500,9600,7,1973,1973,320.0,1242,1242,1,2,1,0,0,Normal,TA,GasA,Attchd
456,457,Grvl,,98000,4571,5,1950,1916,0.0,624,1344,1,3,0,0,0,Abnorml,TA,GasA,Detchd
457,458,,,256000,53227,4,1994,1954,0.0,1364,1663,1,2,2,224,137,Normal,Gd,GasA,Attchd
458,459,Grvl,MnPrv,161000,5100,8,1996,1925,0.0,588,1666,1,1,1,192,63,Normal,Gd,GasA,Detchd
459,460,,,110000,7015,5,1950,1950,161.0,709,1203,1,1,1,0,0,Normal,Gd,GasA,Detchd
460,461,,,263435,8004,8,2009,2009,110.0,832,1935,2,2,0,0,150,Partial,TA,GasA,BuiltIn
461,462,,MnPrv,155000,7200,7,2007,1936,0.0,560,1135,1,2,0,256,0,Normal,Gd,GasA,Detchd
462,463,,GdWo,62383,8281,5,1965,1965,0.0,864,864,1,1,1,0,0,Normal,TA,GasA,Detchd
463,464,,,188700,11988,6,1995,1934,0.0,715,1660,1,1,1,0,0,Normal,TA,GasA,Detchd
464,465,,,124000,8430,5,1978,1978,136.0,1040,1040,2,0,0,0,0,Normal,TA,GasA,
465,466,,,178740,3072,7,2004,2004,18.0,1375,1414,2,2,1,144,20,Normal,Gd,GasA,Attchd
466,467,,GdWo,167000,10628,7,1970,1970,0.0,1277,1277,1,2,1,0,0,Normal,TA,GasA,Attchd
467,468,,,146500,9480,5,1995,1942,224.0,728,1644,1,1,2,168,0,Normal,Gd,GasA,Attchd
468,469,,,250000,11428,8,2006,2006,248.0,1626,1634,2,3,1,0,44,Normal,Gd,GasA,Attchd
469,470,,,187000,9291,6,1993,1993,120.0,832,1710,2,2,0,144,70,Normal,Gd,GasA,Attchd
470,471,,,212000,6820,8,1985,1985,0.0,1488,1502,1,2,0,0,54,Normal,Gd,GasA,Attchd
471,472,,,190000,11952,7,1977,1977,0.0,808,1969,2,2,1,0,0,Normal,TA,GasA,Attchd
472,473,,,148000,3675,6,2005,2005,80.0,547,1072,1,2,0,0,28,Normal,TA,GasA,Basment
473,474,,,440000,14977,8,2007,2006,304.0,1976,1976,2,3,1,250,63,Partial,Gd,GasA,Attchd
474,475,,,251000,5330,8,2000,2000,0.0,1494,1652,2,2,0,96,48,Normal,Ex,GasA,Attchd
475,476,,,132500,8480,5,1963,1963,0.0,970,970,1,2,0,0,24,Normal,TA,GasA,Detchd
476,477,,,208900,13125,6,1998,1997,215.0,1478,1493,2,2,1,140,39,Normal,Gd,GasA,Attchd
477,478,,,380000,13693,9,2006,2006,772.0,2153,2643,2,3,1,414,84,Normal,Ex,GasA,BuiltIn
478,479,,,297000,10637,8,2008,2007,336.0,1705,1718,2,3,1,208,44,Normal,Gd,GasA,Attchd
479,480,,MnPrv,89471,5925,4,2000,1937,435.0,907,1131,1,2,0,0,72,Alloca,TA,GasA,Detchd
480,481,,,326000,16033,9,2005,2004,378.0,1833,1850,2,3,1,519,112,Normal,Gd,GasA,Attchd
481,482,,,374000,11846,9,2004,2003,562.0,1792,1792,2,3,1,206,49,Normal,Ex,GasA,Attchd
482,483,Pave,,155000,2500,7,2005,1915,0.0,910,1826,1,1,1,0,0,Normal,Ex,GasA,Attchd
