SalePrice,LotArea,OverallQual,SaleCondition,YearBuilt
145900,8777,5,Normal,1900
169990,10237,6,Partial,2005
193000,8012,6,Normal,1993
207500,10240,6,Normal,1980
175000,15611,5,Abnorml,1977
285000,11999,8,Normal,2003
176000,9900,7,Normal,1968
236500,11838,8,Normal,2001
222000,13006,7,Normal,1997
201000,8925,8,Normal,2007
117500,9100,5,Normal,1965
320000,11670,9,Normal,2006
190000,8487,7,Normal,2004
242000,27650,7,Normal,1960
79900,5825,4,Normal,1926
184900,10083,7,Normal,2003
253000,9675,7,Normal,2005
239799,8760,7,Partial,2006
244400,24090,7,Normal,1940
150900,12640,6,Normal,1976
214000,8755,7,Normal,1999
150000,7711,4,Abnorml,1977
143000,25000,5,Normal,1967
137500,14375,6,Abnorml,1958
124900,8820,5,Normal,1890
143000,8163,5,Normal,1959
270000,14536,8,Normal,2002
192500,14006,7,Normal,2002
197500,9360,6,Normal,1972
129000,7200,5,Normal,1950
119900,7800,5,Abnorml,1965
133900,7200,5,Normal,1972
172000,11075,5,Normal,1969
127500,9400,6,AdjLand,1975
145000,7136,6,Normal,1946
124000,1300,6,Normal,1980
132000,7420,5,Normal,1962
185000,8450,7,Normal,2003
155000,2572,7,Normal,1999
116500,7207,5,Normal,1958
272000,12227,6,Normal,1977
155000,2308,6,Normal,1976
239000,11923,9,Normal,2007
214900,11316,7,Normal,2002
178900,10237,6,Partial,2005
160000,9600,5,Normal,1940
135000,7390,5,Normal,1955
37900,5925,3,Abnorml,1910
140000,10382,6,Normal,1958
135000,10800,4,Abnorml,1949
173000,2268,7,Normal,2003
99500,7892,6,Normal,1979
182000,11639,7,Partial,2007
167500,11414,7,Normal,1910
165000,2651,7,Normal,2000
85500,5900,4,Normal,1923
199900,4274,7,Partial,2006
110000,9450,4,Abnorml,1954
139000,8816,5,Normal,1963
178400,12122,7,Normal,1961
336000,12203,8,Normal,1998
159895,3182,7,Normal,2007
255900,11250,8,Normal,2002
126000,10125,5,Normal,1977
125000,10880,5,Normal,1950
117000,5310,6,Normal,1910
395192,10159,9,Partial,2009
195000,12046,6,Normal,1976
197000,8125,7,Partial,2006
348000,9452,8,Normal,1997
168000,17671,8,Normal,1882
187000,9760,6,Normal,1964
173900,8846,6,Partial,2005
337500,12456,10,Normal,2006
121600,4712,4,Abnorml,1946
136500,10659,5,Normal,1961
185000,11717,6,Normal,1970
91000,9786,3,Normal,1922
206000,6762,7,Normal,2006
82000,10206,3,Normal,1952
86000,5400,5,Abnorml,1920
232000,11957,8,Normal,2006
136905,11500,5,Normal,1976
181000,3182,7,Normal,2005
149900,8385,5,Normal,1977
163500,12155,6,Normal,1970
88000,2217,4,Normal,1970
240000,12118,7,Normal,2004
102000,6000,5,Normal,1926
135000,21286,5,Normal,1948
100000,9825,5,Normal,1965
165000,10592,6,Normal,1923
85000,7200,5,Normal,1910
119200,11664,6,Normal,1948
227000,8400,8,Normal,2001
203000,11883,7,Normal,1996
187500,5814,8,Abnorml,1984
160000,10784,7,Normal,1991
213490,3013,7,Normal,2005
176000,7024,4,Normal,2005
194000,7406,7,Partial,2006
87000,9439,5,Normal,1930
191000,3182,7,Normal,2005
287000,15498,8,Abnorml,1976
112500,7700,5,Normal,1972
167500,9300,5,Normal,1960
293077,9520,8,Partial,2007
105000,9492,5,Normal,1941
118000,1680,6,Normal,1972
160000,7082,5,Normal,1916
197000,15863,7,Normal,1920
310000,14541,8,Abnorml,1993
230000,8125,7,Normal,2002
119750,6305,5,Normal,1938
84000,11500,4,Normal,1957
315500,12898,9,Normal,2007
287000,9240,8,Normal,2001
97000,1533,4,Normal,1970
80000,1477,4,Normal,1970
155000,13125,5,Normal,1957
173000,9130,6,Normal,1966
196000,5381,6,Normal,2005
262280,11839,7,Normal,1990
278000,9600,8,Normal,1981
139600,13680,3,Normal,1955
556581,16056,9,Partial,2005
145000,9245,5,Normal,1994
115000,21750,5,Normal,1960
84900,11100,4,Abnorml,1946
176485,8993,7,Partial,2007
200141,11175,7,Partial,2007
165000,9500,6,Normal,1964
144500,8562,5,Normal,1957
255000,11367,8,Normal,2002
180000,11361,6,Abnorml,1976
185850,7052,7,Normal,2005
248000,29959,7,Normal,1994
335000,11308,9,Normal,2008
220000,11275,6,Normal,1932
213500,4920,8,Normal,2001
81000,18000,3,Normal,1935
90000,13600,5,Normal,1900
110500,6000,6,Normal,1925
154000,11000,5,Normal,1966
328000,14000,7,Normal,1996
178000,7837,6,Normal,1993
167900,9760,6,Normal,1964
151400,3964,6,Normal,1973
135000,9600,5,Normal,1949
135000,10152,5,Normal,1956
154000,11700,6,Normal,1968
91500,7585,5,Normal,1948
159500,7950,6,Normal,1977
194000,8556,7,Normal,2006
219500,13125,7,Normal,1940
170000,10800,5,Normal,1936
138800,15870,5,Abnorml,1969
155900,4435,6,Normal,2004
126000,8775,5,Normal,1994
145000,11040,6,Abnorml,1971
133000,7500,5,Normal,1963
192000,8749,7,Normal,2002
160000,8800,6,Normal,1964
187500,13031,6,Normal,1995
147000,9069,6,Normal,1992
83500,1974,4,Normal,1973
252000,10574,8,Normal,2005
137500,2522,7,Normal,2004
197000,3316,8,Normal,2005
92900,8544,3,Normal,1950
160000,2160,7,Normal,1999
136500,8400,6,Normal,1925
146000,9230,5,Normal,1965
129000,5868,5,Normal,1956
176432,9317,6,Normal,2006
127000,6882,6,Normal,1914
170000,3696,8,Normal,1986
128000,6000,4,Normal,1936
157000,11880,7,Abnorml,1978
60000,8400,2,Normal,1920
119500,9758,5,Normal,1971
135000,7000,5,Family,1960
159500,8910,6,Normal,1959
106000,2016,5,Normal,1970
325000,12256,8,Normal,1994
179900,10357,7,Normal,1990
274725,23257,7,Partial,2006
181000,8063,6,Abnorml,2000
280000,11362,8,Normal,2004
188000,8000,6,Normal,1995
205000,10480,7,Normal,1976
129900,7100,5,Normal,1957
134500,8923,5,Normal,1953
117000,5400,5,Normal,1954
318000,12085,8,Partial,2007
184100,7750,8,Normal,2002
130000,9764,5,Normal,1967
140000,13825,5,Normal,1958
133700,7560,5,Normal,1959
118400,8263,6,Normal,1920
212900,10084,7,Partial,2005
112000,8926,4,Abnorml,1956
118000,9405,5,Normal,1947
163900,9125,7,Normal,1992
115000,10434,4,Normal,1955
174000,3684,7,Normal,2007
259000,14572,7,Family,2004
215000,11796,7,Normal,2004
140000,7200,5,Normal,1980
135000,7804,4,Normal,1928
93500,10712,5,Abnorml,1991
117500,9900,6,Normal,1880
239500,9828,8,Normal,1995
169000,8773,6,Normal,1997
102000,6180,6,Normal,1926
119000,9600,6,Abnorml,1950
94000,6342,5,Normal,1875
196000,9819,6,Normal,1977
144000,8731,5,Normal,1920
139000,7350,5,Abnorml,1951
197500,10304,5,Normal,1976
424870,9965,8,Partial,2006
80000,9000,5,Normal,1959
80000,12180,4,Normal,1941
149000,6240,5,Family,1928
180000,11200,6,Normal,1985
174500,12000,7,Normal,1941
116900,5700,7,Normal,1926
143000,9000,7,Normal,1920
124000,8280,6,Normal,1950
149900,17755,5,Normal,1959
230000,14115,6,Abnorml,1956
120500,5890,6,Normal,1930
201800,13700,7,Normal,1965
218000,10768,5,Normal,1976
179900,9350,5,Normal,1965
230000,5001,7,Normal,2007
235128,11932,8,Partial,2007
185000,9120,6,Normal,1974
146000,2280,6,Normal,1978
224000,14778,6,Normal,1954
129000,8724,5,Normal,1968
108959,12900,4,Alloca,1969
194000,16157,5,Normal,1978
233170,9541,7,Partial,2009
245350,10475,8,Normal,2008
173000,10852,6,Normal,2000
235000,13728,6,Normal,1935
625000,35760,10,Normal,1995
171000,9880,6,Normal,1977
163000,9120,6,Normal,1958
171900,4017,7,Normal,2006
200500,18030,5,Normal,1946
239000,16560,6,Normal,1932
285000,10678,8,Normal,1992
119500,6951,5,Normal,1984
115000,3950,6,Normal,1926
154900,7681,5,Normal,1921
93000,8335,5,Normal,1954
250000,11170,7,Normal,1990
392500,5587,8,Partial,2008
745000,15623,10,Abnorml,1996
120000,10800,5,Normal,1920
186700,35133,5,Normal,1963
104900,9738,5,Normal,1924
95000,10615,3,Abnorml,1900
262000,12461,8,Normal,1994
195000,8935,7,Normal,2002
189000,7500,7,Normal,1999
168000,32463,4,Normal,1961
174000,2645,8,Normal,1999
125000,9600,5,Normal,1925
165000,4500,6,Normal,1999
158000,9364,6,Normal,1969
176000,8029,6,Normal,2005
219210,14054,7,Partial,2006
144000,8850,7,Normal,1916
178000,9100,7,Normal,2001
148000,11235,4,Normal,1963
116050,9353,4,Abnorml,1970
197900,10400,7,Normal,1998
117000,6000,5,Normal,1925
213000,9750,7,Normal,2000
153500,10140,5,Normal,1975
271900,14684,7,Normal,1990
107000,8900,4,Normal,1966
200000,9135,6,Normal,2003
140000,7763,5,Normal,1962
290000,10182,8,Partial,2006
189000,11218,6,Normal,1992
164000,12134,8,Normal,1988
113000,9340,4,Normal,1941
145000,10246,4,Normal,1965
134500,10205,5,Normal,1962
125000,7094,5,Normal,1966
112000,8930,6,Normal,1978
229456,8640,8,Partial,2009
80500,6240,4,Normal,1947
91500,1680,6,Abnorml,1971
115000,7800,5,Abnorml,1964
134000,8250,5,Normal,1968
143000,10496,6,Normal,1949
137900,10680,5,Normal,1951
184000,15384,7,Normal,2004
145000,10482,6,Normal,1958
214000,14598,6,Normal,2007
147000,8872,5,Normal,1965
367294,8769,9,Partial,2008
127000,7910,5,Normal,1960
190000,18890,5,Normal,1977
132500,7728,5,Normal,1962
101800,9842,4,Normal,1962
142000,12160,5,Abnorml,1959
130000,8525,5,Abnorml,1911
138887,13132,5,Normal,1914
175500,2628,7,Normal,2003
195000,12393,7,Normal,2004
142500,13072,6,Abnorml,2005
265900,9037,8,Normal,2006
224900,8158,7,Normal,2003
248328,9849,7,Partial,2007
170000,10625,7,Family,1974
465000,13891,10,Partial,2006
230000,11435,8,Normal,1929
178000,12090,6,Abnorml,1984
186500,8125,7,Partial,2005
169900,12328,6,Normal,1976
129500,9600,6,Normal,1917
119000,7200,5,Normal,1950
244000,11160,7,Normal,1968
171750,3136,7,Normal,2003
130000,9858,5,Normal,1968
294000,17542,7,Normal,1974
165400,6931,7,Normal,2003
127500,6240,6,Normal,1931
301500,14303,8,Normal,1994
99900,4060,5,Normal,1922
190000,9587,7,Normal,2005
151000,9750,6,Normal,1969
181000,24682,6,Normal,1999
128900,9600,5,Normal,1956
161500,11250,4,Normal,1957
180500,13515,6,Normal,1919
181000,4060,6,Abnorml,1998
183900,3735,7,Normal,1999
122000,10120,7,Normal,1910
378500,13214,9,Normal,2008
381000,14100,8,Normal,1935
144000,11344,5,Normal,1958
260000,23595,7,Normal,1979
185750,9156,6,Normal,1968
137000,13526,5,Normal,1965
177000,11512,6,Normal,1959
139000,5362,5,Normal,1910
137000,11345,5,Normal,1948
162000,12936,6,Normal,1972
197900,17871,6,Normal,1967
237000,9473,8,Normal,2002
68400,7500,4,Abnorml,1920
227000,9808,7,Normal,2002
180000,8049,7,Normal,1990
150500,8800,5,Normal,1977
139000,9400,6,Normal,1971
169000,9638,6,Normal,1919
132500,6000,6,Normal,1939
143000,9790,6,Normal,1963
190000,36500,5,Normal,1964
278000,5664,8,Normal,2000
281000,11065,8,Partial,2006
180500,14112,5,Normal,1964
119500,1680,5,Normal,1972
107500,6600,5,Normal,1892
162900,10140,7,Normal,1976
115000,8172,5,Normal,1955
138500,8400,5,Normal,1968
155000,8700,5,Normal,1963
140000,3675,6,Partial,2005
160000,63887,10,Partial,2008
154000,7500,5,Normal,1959
225000,10762,7,Normal,1999
177500,7500,6,Normal,1942
290000,10120,8,Normal,1994
232000,8688,7,Normal,2005
130000,3363,7,Normal,2004
325000,13173,9,Normal,2006
202500,6955,7,Partial,2005
138000,8072,5,Normal,1994
147000,12000,5,Normal,1948
179200,7153,6,Normal,1991
335000,17500,7,Normal,1959
203000,8814,7,Partial,2005
302000,9572,8,Normal,1990
333168,14774,9,Normal,1999
119000,8190,4,Normal,1954
206900,11075,6,Normal,1969
295493,10226,8,Normal,2008
208900,4230,7,Partial,2006
275000,14781,8,Normal,2001
111000,10215,4,Normal,1954
156500,8400,6,Normal,1957
72500,6627,3,Normal,1949
190000,10186,7,Normal,1992
82500,5330,4,Normal,1940
147000,9986,8,Partial,2006
55000,3636,4,Normal,1922
79000,4270,3,Normal,1931
130500,6600,5,Normal,1982
256000,10440,6,Normal,1920
176500,9084,7,Normal,1998
227000,10000,8,Normal,2006
132500,10780,5,Normal,1976
100000,8877,4,Normal,1938
125500,7200,5,Normal,1938
125000,2368,5,Normal,1970
167900,9650,6,Normal,1977
135000,9246,5,Normal,1973
52500,4118,4,Normal,1941
200000,13450,7,Normal,2002
128500,9560,5,Normal,1972
123000,8294,4,Normal,1971
155000,13695,6,Normal,2003
228500,9375,8,Normal,2002
177000,7558,6,Normal,1928
155835,11103,7,Partial,2006
108500,6000,4,Normal,1920
262500,20781,7,Normal,1968
283463,15306,8,Partial,2006
215000,16196,7,Normal,1998
122000,5250,8,Normal,1872
200000,11643,5,Normal,1969
171000,9247,6,Normal,1962
134900,6000,6,Normal,1937
410000,14720,8,Normal,1995
235000,10316,7,Normal,2000
170000,10192,7,Normal,1968
110000,9477,5,Normal,1966
149900,12537,5,Normal,1971
177500,2117,6,Normal,2000
315000,16737,9,Normal,2004
189000,9842,5,Normal,1921
260000,16158,7,Normal,2005
104900,12513,4,Normal,1920
156932,8499,6,Partial,2006
144152,3180,7,Abnorml,2005
216000,7500,7,Normal,2000
193000,9179,7,Abnorml,1999
127000,2665,5,Normal,1977
144000,4435,6,Normal,2003
232000,10635,8,Normal,2003
105000,5400,4,Normal,1920
165500,9600,6,Normal,1955
274300,9750,7,Normal,1998
466500,11400,10,Normal,2001
250000,10625,7,Normal,2005
239000,10991,8,Partial,2007
91000,6292,6,Normal,1930
117000,10998,5,Normal,1941
83000,1953,6,Normal,1973
167500,9735,5,Normal,2006
58500,8212,3,Normal,1914
237500,12925,6,Normal,1970
157000,7200,7,Normal,1920
112000,25339,5,Normal,1918
105000,9060,6,Normal,1939
125500,5436,4,Normal,1922
250000,16692,7,Normal,1978
136000,8520,6,Family,1916
377500,14892,9,Normal,2006
131000,6000,6,Normal,1941
235000,9100,7,Normal,2000
124000,8944,5,Normal,1967
123000,7838,5,Normal,1967
163000,10800,6,Normal,1905
246578,4045,7,Partial,2006
281213,12665,8,Normal,2005
160000,57200,5,Normal,1948
137500,6120,5,Normal,1920
138000,7200,5,Normal,1950
137450,6171,6,Normal,1925
120000,6000,6,Normal,1929
193000,7415,6,Normal,2004
193879,6762,7,Partial,2006
282922,15256,8,Normal,2007
105000,10410,3,Family,1915
275000,3842,8,Normal,2004
133000,8445,5,Normal,1972
112000,8780,5,Normal,1985
125500,7740,4,Normal,1910
215000,20544,7,Normal,1986
230000,12420,7,Normal,2001
140000,9600,6,Normal,1950
90000,7200,4,Normal,1949
257000,10994,8,Abnorml,2005
207000,13053,6,Normal,1923
175900,3635,7,Normal,2007
122500,11340,4,Normal,1885
340000,16545,8,Normal,1998
124000,9204,5,Normal,1963
223000,16381,6,Normal,1969
179900,11700,6,Normal,1968
127500,4043,6,Normal,1977
136500,4435,6,Normal,2003
274970,19690,6,Alloca,1966
144000,9503,5,Normal,1958
142000,10721,6,Normal,1959
271000,10944,7,Normal,1994
140000,10930,5,Normal,1945
119000,7200,5,Abnorml,1940
182900,12546,6,Normal,1981
192140,21930,5,Normal,2005
143750,4928,6,Normal,1976
64500,10800,4,Normal,1927
186500,10261,6,Normal,2000
160000,17400,5,Normal,1977
174000,8400,6,Abnorml,1962
120500,9000,4,Normal,1971
394617,12444,8,Partial,2008
149700,7407,6,Normal,1957
197000,11584,7,Normal,1979
191000,11526,6,Normal,1922
149300,4426,6,Normal,2004
310000,11003,10,Normal,2008
121000,8854,6,Normal,1916
179600,8500,7,Normal,2004
129000,8400,6,Normal,1966
157900,26142,5,Normal,1962
240000,10000,8,Normal,1995
112000,11767,4,Normal,1910
92000,1533,5,Abnorml,1970
136000,9000,5,Normal,1974
287090,9262,8,Partial,2008
145000,3675,5,Normal,2005
84500,17217,5,Abnorml,2006
185000,7500,7,Normal,2004
175000,7917,6,Normal,1999
210000,13175,6,Normal,1978
266500,9042,7,Normal,1941
142125,9717,5,Normal,1950
147500,9937,5,Normal,1965
