,news,target
347,"
Did you check with the Afghans before posting this?   They
might disagree.",0
348,"
I think the problem here is that I pretty much ignored the part
about the Jews sightseeing for 2000 years, thinking instead that
the important part of what the original poster said was the bit
about killing Palestinians.  In retrospect, I can see how the
sightseeing thing would be offensive to many.  I originally saw
it just as poetic license, but it's understandable that others
might see it differently.  I still think that Ken came on a bit
strong though.  I also think that your advice to Masud Khan:

  #Before you argue with someone like Mr Arromdee, it's a good idea to
  #do a little homework, or at least think.

was unnecessary.


Throughout all your articles in this thread there is the tacit
assumption that the original poster was exhibiting casual
anti-semitism.  If I agreed with that, then maybe your speech
on why this is bad might have been relevant.  But I think you're
reading a lot into one flip sentence.  While probably not
true in this case, too often the charge of anti-semitism gets
thrown around in order to stifle legitimate criticism of the
state of Israel.

Anyway, I'd rather be somewhere else, so I'm outta this thread.",0
349,"Afraid I can't give any more info on this.. and hoping someone in greter
NETLAND has some details.

A short story in the newspaper a few days ago made some sort of mention
about how the Japanese, using what sounded like a gravity assist, had just
managed to crash (or crash-land) a package on the moon.

the article was very vague and unclear.  and, to make matters worse, I
didn't clip it.

does this jog anyone's memory?
",1
350,"


Well they don't export anywhere near 50% of their GNP. Mexico's perhaps
but not their own. They actually export around the 9-10% mark. Similar
to most developed countries actually. Australia exports a larger share
of GNP as does the United States (14% I think off hand. Always likely to
be out by a factor of 12 or more though) This would be immediately obvious
if you thought about it.


It is their import routes that count. They can do without exports but
they couldn't live without imports for any longer than six months if that.


Too true! But one that is unstable and hence a source of serious worry.

Joseph Askew
",1
351,"

	Hey, it might to interesting to read some of these posts...
Especially from ones who still regularly posts on alt.atheism!



	Hee hee hee.

	*I* ain't going to say....

--- 

        "" Whatever promises that have been made can than be broken. """,0
352,"
TDB> 12. Disease introduced to Brazilian * oher S.Am. tribes: x million

To be fair, this was going to happen eventually.  Given time, the Americans
would have reached Europe on their own and the same thing would have 
happened.  It was just a matter of who got together first.
",0
353,"

Who has to consider it?  The being that does the action?  I'm still
not sure I know what you are trying to say.",0
354,"Archive-name: atheism/overview
Alt-atheism-archive-name: overview
Last-modified: 5 April 1993
Version: 1.2

                                   Overview

Welcome to alt.atheism and alt.atheism.moderated.

This is the first in a series of regular postings aimed at new readers of the
newsgroups.

Many groups of a 'controversial' nature have noticed that new readers often
come up with the same questions, mis-statements or misconceptions and post
them to the net.  In addition, people often request information which has
been posted time and time again.  In order to try and cut down on this, the
alt.atheism groups have a series of five regular postings under the following
titles:

   1.  Alt.Atheism FAQ: Overview for New Readers
   2.  Alt.Atheism FAQ: Introduction to Atheism
   3.  Alt.Atheism FAQ: Frequently Asked Questions (FAQ)
   4.  Alt.Atheism FAQ: Constructing a Logical Argument
   5.  Alt.Atheism FAQ: Atheist Resources

This is article number 1.  Please read numbers 2 and 3 before posting.  The
others are entirely optional.

If you are new to Usenet, you may also find it helpful to read the newsgroup
news.announce.newusers.  The articles titled ""A Primer on How to Work With
the Usenet Community"", ""Answers to Frequently Asked Questions about Usenet""
and ""Hints on writing style for Usenet"" are particularly relevant.  Questions
concerning how news works are best asked in news.newusers.questions.

If you are unable to find any of the articles listed above, see the ""Finding
Stuff"" section below.


                                   Credits

These files could not have been written without the assistance of the many
readers of alt.atheism and alt.atheism.moderated.  In particular, I'd like to
thank the following people:

kck+@cs.cmu.edu (Karl Kluge)
perry@dsinc.com (Jim Perry)
NETOPRWA@ncsuvm.cc.ncsu.edu (Wayne Aiken)
chpetk@gdr.bath.ac.uk (Toby Kelsey)
jkp@cs.HUT.FI (Jyrki Kuoppala)
geoff.arnold@East.Sun.COM (Geoff Arnold)
torkel@sics.se (Torkel Franzen)
kmldorf@utdallas.edu (George Kimeldorf)
roe2@quads.uchicago.edu (Greg Roelofs)
arromdee@jyusenkyou.cs.jhu.edu (Ken Arromdee)
madhaus@netcom.com (Maddi Hausmann)
J5J@psuvm.psu.edu (John A. Johnson)
dgraham@bmers30.bnr.ca (Douglas Graham)
mayne@open.cs.fsu.edu (William Mayne)
ajr@bigbird.hri.com (Andy Rosen)
stoesser@ira.uka.de (Achim Stoesser)
bosullvn@unix1.tcd.ie (Bryan O'Sullivan)
lippard@ccit.arizona.edu (James J. Lippard)
s1b3832@rigel.tamu.edu (S. Baum)
ydobyns@phoenix.princeton.edu (York H. Dobyns)
schroede@sdsc.edu (Wayne Schroeder)
baldwin@csservera.usna.navy.mil (J.D. Baldwin)
D_NIBBY@unhh.unh.edu (Dana Nibby)
dempsey@Kodak.COM (Richard C. Dempsey)
jmunch@hertz,elee.calpoly.edu (John David Munch)
pdc@dcs.ed.ac.uk (Paul Crowley)
rz@mips.complang.tuwien.ac.at (Richard Zach)
tycchow@math.mit.edu (Tim Chow)
simon@dcs.warwick.ac.uk (Simon Clippingdale)

...and countless others I've forgotten.

These articles are free.  Truly free.  You may copy them and distribute them
to anyone you wish.  However, please send any changes or corrections to the
author, and please do not re-post copies of the articles to alt.atheism; it
does nobody any good to have multiple versions of the same document floating
around the network.


                                Finding Stuff

All of the FAQ files *should* be somewhere on your news system.  Here are
some suggestions on what to do if you can't find them:

1. Check the newsgroup alt.atheism.  Look for subject lines starting with
   ""Alt.Atheism FAQ:"".

2. Check the newsgroup news.answers for the same subject lines.

   If you don't find anything in steps 1 or 2, your news system isn't set up
   correctly, and you may wish to tell your system administrator about the
   problem.

3. If you have anonymous FTP access, connect to rtfm.mit.edu [18.172.1.27].
   Go to the directory /pub/usenet/alt.atheism, and you'll find the latest
   versions of the FAQ files there.

   FTP is a a way of copying files between networked computers.  If you
   need help in using or getting started with FTP, send e-mail to
   mail-server@rtfm.mit.edu with

      send usenet/news.answers/ftp-list/faq

   in the body.

4. There are other sites which also carry news.answers postings.  The article
   ""Introduction to the news.answers newsgroup"" carries a list of these
   sites; the article is posted regularly to news.answers.

5. If you don't have FTP, send mail to mail-server@rtfm.mit.edu
   consisting of the following lines:

      send usenet/news.answers/finding-sources
      send usenet/alt.atheism/faq
      send usenet/alt.atheism/introduction
      send usenet/alt.atheism/logic
      send usenet/alt.atheism/resources

5. (Penultimate resort)  Send mail to mail-server@mantis.co.uk consisting of
   the following lines:

      send atheism/faq/faq.txt
      send atheism/faq/logic.txt
      send atheism/faq/intro.txt
      send atheism/faq/resource.txt

   and our poor overworked modems will try and send you a copy of the files.
   There's other stuff, too; interesting commands to try are ""help"" and
   ""send atheism/index"".

6. (Last resort)  Mail mathew@mantis.co.uk, or post an article to the
   newsgroup asking how you can get the FAQ files.  You should only do this
   if you've tried the above methods and they've failed; it's not nice to
   clutter the newsgroup or people's mailboxes with requests for files.
   it's better than posting without reading the FAQ, though!  For instance,
   people whose email addresses get mangled in transit and who don't have 
   FTP will probably need assistance obtaining the FAQ files.
",0
355,"
  Do I smell .sig material here?


/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\ 

Bob Beauchaine bobbe@vice.ICO.TEK.COM 

They said that Queens could stay, they blew the Bronx away,
and sank Manhattan out at sea.",0
356,"
In fact, you probably want to avoid US Government anything for such a
project.  The pricetag is invariably too high, either in money or in
hassles.

The important thing to realize here is that the big cost of getting to
the Moon is getting into low Earth orbit.  Everything else is practically
down in the noise.  The only part of getting to the Moon that poses any
new problems, beyond what you face in low orbit, is the last 10km --
the actual landing -- and that is not immensely difficult.  Of course,
you *can* spend sagadollars (saga- is the metric prefix for beelyuns
and beelyuns) on things other than the launches, but you don't have to.

The major component of any realistic plan to go to the Moon cheaply (for
more than a brief visit, at least) is low-cost transport to Earth orbit.
For what it costs to launch one Shuttle or two Titan IVs, you can develop
a new launch system that will be considerably cheaper.  (Delta Clipper
might be a bit more expensive than this, perhaps, but there are less
ambitious ways of bringing costs down quite a bit.)  Any plan for doing
sustained lunar exploration using existing launch systems is wasting
money in a big way.

Given this, questions like whose launch facilities you use are *not* a
minor detail; they are very important to the cost of the launches, which
dominates the cost of the project.",1
357,": Announce that a reward of $1 billion would go to the first corporation 
: who successfully keeps at least 1 person alive on the moon for a year. 
: Then you'd see some of the inexpensive but not popular technologies begin 
: to be developed. THere'd be a different kind of space race then!

I'm an advocate of this idea for funding Space Station work, and I
throw around the $1 billion figure for that ""reward.""  I suggest that
you increase the Lunar reward to about $3 billion.

This would encourage private industry to invest in space, which 
should be one of NASA's primary goals.

-- Ken Jenks, NASA/JSC/GM2, Space Shuttle Program Office
      kjenks@gothamcity.jsc.nasa.gov  (713) 483-4368",1
358,"

Not so.  If you are thrown into a cage with a tiger and get mauled, do you
blame the tiger?",0
359,"FOR IMMEDIATE RELEASE           Contact:  OASIS (310) 364-2290

   15 April 1993                                Los Angeles, CA

     LOCAL NATIONAL SPACE SOCIETY CHAPTERS SPONSOR TALK BY L.A.
  ADVOCATE OF LUNAR POWER SYSTEM AS ENERGY SOURCE FOR THE WORLD

   On April 21, the OASIS and Ventura County chapters of the National 
Space Society will sponsor a talk by Lunar Power System (LPS) co-
inventor and vice-president of the LPS Coalition, Dr. Robert D.
Waldron.  It will be held at 7:30 p.m. at the Rockwell Science
Center in Thousand Oaks, CA.

   Dr. Waldron is currently a Technical Specialist in Space
Materials Processing with the Space Systems Division of Rockwell
International in Downey, California.  He is a recognized world
authority on lunar materials refinement.  He has written or
coauthored more than 15 articles or reports on nonterrestrial
materials processing or utilization.  Along with Dr. David
Criswell, Waldron invented the lunar/solar power system concept.

   Momentum is building for a coalition of entrepreneurs, legal
experts, and Soviet and U.S. scientists and engineers to build
the Lunar Power System, a pollution-free, energy source with a
potential to power the globe.

   For the past three years members of the coalition, nearly half
from California, have rejuvenated the commercial and scientific
concept of a solar power system based on the Moon.

   The LPS concept entails collecting solar energy on the lunar
surface and beaming the power to Earth as microwaves transmitted
through orbiting antennae.  A mature LPS offers an enormous
source of clean, sustainable power to meet the Earth's ever
increasing demand using proven, basic technology.

   OASIS (Organization for the Advancement of Space
Industrialization) is the Greater Los Angeles chapter of the
National Space Society, which is an international non-profit
organization that promotes development of the space frontier.
The Ventura County chapter is based in Oxnard, CA.

       WHERE:  Rockwell Science Center Auditorium, 1049 Camino
               Dos Rios, Thousand Oaks, CA.",1
360,"
Then Mr Mozumder is incorrect when he says that when committing
bad acts, people temporarily become atheists?",0
361,"I am a newbie to the net, and I am trying to get some information for a paper
I am working on to get back into college.  If anyone can send me data on
Solar coronal holes and recurrant aurora  for the past thirty years it would be
a big help.  Or, if you have information on more esoteric things like Telluric
current, surge bafflers power companies use, or other effects sporatic aurora
have on the Earth's magnetic field, I'd be eternally gratefull.  Please send 
anything interesting to me at
        Marty Crandall-Grela
        Van Vleck Observatory
        Wesleyan University
        Middletown,Ct 06487
 or e-mail it to me at mcrandall@eagle.wesleyan.edu
 Thank-you in advance,      Marty

",1
362,"

This book is worth a read to get a sensible view of this issue.


The book is in two sections.  Section 1 contains a fairly reasonable
analysis of the Bible, showing many inconsistencies between the Bible
and modern science.  Well we all know that, no surprises.

Section 2 analyses the Koran's version of the Old Testament stories,
and seems, on the face of it, to present a good case showing the Koran
is consistent with modern science.  However, it was plain to me, that
this consistency was only possible by the vague phraseology of the
Koran.  Take the flood, for example, the bible is full of detail,
(""forty days and forty nights"", ""pair of every animal"", etc.), we all
know this is nonsense.  The Koran's description of the same event is
so obscure as to make possible an interpretation such as ""A big river 
flooded for a few days and caused much damage"".  Yes, no contradiction
but also not much fact.

The Koran might be consistent with modern science, but being
consistent due to its vagueness compared with other books of that
time, does not seem much of an achievement.

The book concludes by saying something like, the Koran must have had
divine inspiration because at the time it was written there were a lot
of (to us now) ridiculous ideas about the universe, and none of them
can be found in the Koran!  Arguing for the greatness of a book by
talking about what it does not contain seems absurd in the extreme.

The above is, of course, from memory so I may have missed some points.



-- ",0
363,"
   Just what do gay people do that straight people don't?

Absolutely nothing.

I'm a VERY straight(as an arrow), 17-year old male that is involved in the BSA.

I don't care what gay people do among each other, as long as they don't make
passes at me or anything.  At my summer camp where I work, my boss is gay.
Not in a 'pansy' way of gay (I know a few), but just 'one of the guys'.
He doesn't push anything on me, and we give him the same respect back, due
to his position.

If anything, the BSA has taught me, I don't know, tolerance or something.
Before I met this guy, I thought all gays were 'faries'.  So, the BSA HAS
taught me to be an antibigot.",0
364,"
There are no Mariner craft from which we are still receiving data.  I believe
you are referring to one or more of Pioneers 6 through 9 (launched from
December 1965 through November 1968), which were put into solar orbits to study
interplanetary space.  I recall reading that at least one of them was still
functioning 25 years after launch.",1
365,"If gamma ray bursters are extragalactic, would absorption from the
galaxy be expected?  How transparent is the galactic core to gamma
rays?

How much energy does a burster put out?  I know energy depends on
distance, which is unknown.  An answer of the form _X_ ergs per
megaparsec^2 is OK.

",1
366,"(References: deleted to move this to a new thread)



""To put it as simply as possible: *I am not a Muslim*.[...] I do not
 accept the charge of apostacy, because I have never in my adult life
 affirmed any belief, and what one has not affirmed one can not be
 said to have apostasized from.  The Islam I know states clearly that
 'there can be no coercion in matters of religion'.  The many Muslims
 I respect would be horrified by the idea that they belong to their
 faith *purely by virtue of birth*, and that a person who freely chose
 not to be a Muslim could therefore be put to death.""
    	    	    	    	Salman Rushdie, ""In Good Faith"", 1990

""God, Satan, Paradise, and Hell all vanished one day in my fifteenth
 year, when I quite abruptly lost my faith.  [...]and afterwards, to
 prove my new-found atheism, I bought myself a rather tasteless ham
 sandwich, and so partook for the first time of the forbidden flesh of
 the swine.  No thunderbolt arrived to strike me down. [...] From that
 day to this I have thought of myself as a wholly seculat person.""
    	    	    	    	Salman Rushdie, ""In God We Trust"", 1985
 

Only a functional illiterate with absolutely no conception of the
nature of the novel could think such a thing.  I'll accept it
(reluctantly) from mobs in Pakistan, but not from you.  What is
presented in the fictional dream of a demented character cannot by the
wildest stretch of the imagination be considered a reflection on the
actual Mohammad.  What's worse, the novel doesn't present the
Mahound/Mohammed character in any worse light than secular histories
of Islam; in particular, there is no ""lewd"" misrepresentation of his
life or that of his wives.


Don't hold back; he's considered an apostate and a blasphemer.
However, it's not for his writing in _The Satanic Verses_, but for
what people have accepted as a propagandistic version of what is
contained in that book.  I have yet to find *one single muslim* who
has convinced me that they have read the book.  Some have initially
claimed to have done so, but none has shown more knowledge of the book
than a superficial Newsweek story might impart, and all have made
factual misstatements about events in the book.


I'll keep an eye out for it.  I have a counter-proposal: I suggest
that you see the Viking hardcover by Salman Rushdie called _The
Satanic Verses_.  Perhaps then you'll understand.",0
367,"
You totally forgot the original post that you posted Allen. In that post
you stated that the ""wrap"" was on top of and in addition to any overhead.
Geez in this post you finally admit that this is not true.


Come your little ol buns down here and you will find out who is doing
what and who is working on integration. This is simply an ad hominum
attack and you know it.


Of course there is a fee. It is for administration. Geez Allen any
organization has costs but there is a heck of a difference in  legitimate
costs, such as libraries and other things that must be there to support
a program and ""wrap"" as you originally stated it.You stated that wrap
was on top of all of the overhead which a couple of sentences down you
say is not true. Which is it Allen?


As you have posted on this subject Allen, you state that wrap is over and
above overhead and is a seperate charge. You admit here that this is wrong.
Nasa has a line item budget every year. I have seen it Allen. Get some
numbers from that detailed NASA budget and dig out the wrap numbers and then
howl to high heaven about it. Until you do that you are barking in the wind.


Integration could be done better at the centers. Apollo integration was 
done here at Msfc and that did not turn out so bad. The philosophy of
Reston is totally wrong Allen. There you have a bunch of people who are
completely removed from the work that they are trying to oversee. There
is no way that will ever work. It has never worked in any large scale project
that it was ever tried on. Could you imagine a Reston like set up for 
Apollo?


Oh you are full of it Allen on this one. I agree that JSC screwed up big.
They should be responsible for that screw up and the people that caused it
replaced. To make a stupid statement like that just shows how deep your
bias goes. Come to MSFC for a couple of weeks and you will find out just
how wrong you really are. Maybe not, people like you believe exactly what
they want to believe no matter  what the facts are contrary to it. 


I agree that integration is the single most important part of a  successful
large scale effort. What I completly disagree with is seperating that
integration function from  the people that are doing the work. It is called
leadership Allen. That is what made Apollo work. Final responsibility for
the success of Apollo was held by less than 50 people. That is leadership
and responsibility. There is neither when you have any organization set up
as Reston is. You could take the same people and move them to JSC or MSFC
and they could do a much better job. Why did it take a year for Reston to
finally say something about the problem? If they were on site and part of the
process then the problem would have never gotten out of hand in the first place.

There is one heck of a lot I do not know Allen, but one thing I do know is that
for a project to be successful you must have leadership. I remember all of the
turn over at Reston that kept SSF program in shambles for years do you? It is
lack of responsibility and leadership that is the programs problem. Lack of
leadership from the White House, Congress and at Reston. Nasa is only a
symptom of a greater national problem. You are so narrowly focused in your
efforts that you do not see this.


No, I am saying that if they were located at JSC it never would have 
happened in the first place.

I have the time to reitereate one more timet that if the leadership that is
at reston was on site at JSC the problem never would have happened, totally
ignoring the lack of leadership of congress. This many headed hydra that
has grown up at NASA is the true problem of the Agency and to try to 
change the question to suit you and your bias is only indicative of
your position.",1
368,"
Says who? Other than a hear-say god.


You sure don't understand it.


Bill, I hereby award you the Golden Shovel Award for the biggist pile of
bullshit I've seen in a whils. I'm afraid there's not a bit of religion in
macroevolution, and you've made a rather grand statement that Science can
not explain origins; to a large extent, it already has!
",0
369,"






I am not Mathew (Mantis) but any (successful) first year logic student will see that you are logically correct, the other poster is logically incorrect.
",0
370,"

Specifically, which changes are you talking about?  Are you arguing
that the motto is interpreted as offensive by a larger portion of the
population now than 40 years ago?",0
371,"
The Orion concept as actually proposed (as opposed to the way it has been
somewhat misrepresented in some fiction) included wrapping a thick layer
of reaction mass -- probably plastic of some sort -- around each bomb.
The bomb vaporizes the reaction mass, and it's that which transfers
momentum to the pusher plate.",1
372,"There is a nice little tool in Lucid emacs. It's called ""calendar"".
On request it shows for given longitude/latitude coordinates times for
sunset and sunrise. The code is written in lisp.
I don't know if you like the idea that an editor is the right program to
calculate these things.


Theo W.",1
373,"Sorry for asking a question that's not entirely based on the
technical aspects of space, but I couldn't find the
answer on the FAQs !

I'm currently in the UK, which makes seeing a Space Shuttle
launch a little difficult.....

However, I have been selected to be an exchange student
at Louisiana State Uni. from August, and I am absolutely
determined to get to see a Space Shuttle launch sometime
during the year at which I will be in America.

I hear there's a bit of a long mailing list, so if someone
can tell me how to get tickets and where to get them from, then
please E-mail me !

Thanks very much for your patience....

(And if anyone else wants to know, tell me and I'll summarize
for you - just to save all those poor people who have to
pay for their links !)",1
374,": Are you saying that their was a physical Adam and Eve, and that all
: humans are direct decendents of only these two human beings.?  Then who
: were Cain and Able's wives?  Couldn't be their sisters, because A&E
: didn't have daughters.  Were they non-humans?

Genesis 5:4

and the days of Adam after he begat Seth were eight hundred years, and
he begat sons and daughters:",0
375,"SOmebody mentioned  a re-boost of HST during this mission,  meaning
that Weight is a very tight  margin on this  mission.

How will said re-boost be done?

Grapple, HST,  stow it in Cargo bay,  do OMS burn to high altitude,  

unstow  HST,   repair  gyros,  costar install,  fix solar arrays,

then return to earth?

My guess is  why  bother with  usingthe shuttle to reboost?

why not  grapple,  do all said fixes,   bolt a small  liquid  fueled
thruster module  to  HST,   then let it make the re-boost.  it has to be
cheaper on mass then usingthe shuttle as a tug.   that way, now that
they are going to need at least 5  spacewalks,  then they can carry
an EDO pallet,  and  sit on station and even  maybe do the  solar array
tilt  motor  fix.",1
376,"
Great speculation - I remember being proud on behalf of all the free
world (you think that way when you are seven years old) that we had
got there first. Now I'm almost sorry that it worked out that way.

I guess the soviets would have taken the victory seriously too, and
would almost certainly not have fallen victim to the complacency that
overtook the US program. Perhaps stretching to match US efforts would
have destabilized them sooner than it did in fact - and in the tradition
of Marvel Comics 'What If', this destabilization in the Brezhnev era might
have triggered the third world war. Hmm, maybe it was a giant leap after all.
",1
377,"





Phil> Didn't one of the early jet fighters have these?  I also think
Phil> the germans did some work on these in WWII.

The NACA came up with them before World War II.  NASA is directly
descended from the NACA, with space added in.

You'll notice that I didn't mention sweep wings even though the
X-5, tested at what's now Dryden, had them.  We did steal that one
dirctly from the Germans.  The difference is that swept wings don't
change their angle of sweep, sweep wings do.  Perhaps the similarity
of names has caused some confusion?  747s have swept wings, F-111s
have sweep wings.


Phil> A lot of this was also done by the military...

After NASA aerodynamicists proposed them and NASA test teams
demonstrated them.  Richard Whitcomb and R.T. Jones, at Langley
Research Center, were giants in the field.

Dryden was involved in the flight testing of winglets and area
ruling (in the 70s and 50s, respectively).  It's true that we
used military aircraft as the testbeds (KC-135 and YF-102) but
that had more to do with availability and need than with military
involvement.  The YF-102 was completely ours and the KC-135 was
bailed to us.  The Air Force, of course, was interested in our
results and supportive of our efforts.

Dryden flew the first digital fly by wire aircraft in the 70s. No
mechnaical or analog backup, to show you how confident we were.
General Dynamics decided to make the F-16 flyby-wire when they saw how
successful we were.  (Mind you, the Avro Arrow and the X-15 were both
fly-by-wire aircraft much earlier, but analog.)

Phil> Egad! I'm disagreeing with Mary Shafer!  

The NASA habit of acquiring second-hand military aircraft and using
them for testbeds can make things kind of confusing.  On the other
hand, all those second-hand Navy planes give our test pilots a chance
to fold the wings--something most pilots at Edwards Air Force Base
can't do.

",1
378,"

Ideologies also split, giving more to disagree upon, and may also lead
to intolerance.  So do you also oppose all ideologies?

I don't think your argument is an argument against religion at all, but
just points out the weaknesses of human nature.


I would like a reference if you have got one, for this is news to me.


One must approach the Qur'an with intelligence.  Any thinking approach
to the Qur'an cannot but interpret the above verse and others like it
that women and men are spiritual equals.

I think that the above verse does clearly imply that women have
souls.  Does it make any sense for something without a soul to be
forgiven?  Or to have a great reward (understood to be in the
after-life)?  I think the usual answer would be no -- in which case, the
part saying ""For them has God prepared forgiveness and a great reward""
says they have souls.  

(If it makes sense to say that things without souls can be forgiven, then 
I have no idea _what_ a soul is.)

As for your saying that the quote above may not be given a high priority
in all interpretations, any thinking approach to the Qur'an has to give
all verses of the Qur'an equal priority.  That is because, according to
Muslim belief, the _whole_ Qur'an is the revelation of God -- in fact,
denying the truth of any part of the Qur'an is sufficient to be
considered a disbeliever in Islam.


Look, any approach to the Qur'an must be done with intelligence and
thought.  It is in this fashion that one can try to understand the
Quran's message.  In a book of finite length, it cannot explicitly
answer every question you want to put to it, but through its teachings
it can guide you.  I think, however, that women are the spiritual equals
of men is clearly and unambiguously implied in the above verse, and that
since women can clearly be ""forgiven"" and ""rewarded"" they _must_ have
souls (from the above verse).

Let's try to understand what the Qur'an is trying to teach, rather than
try to see how many ways it can be misinterpreted by ignoring this
passage or that passage.  The misinterpretations of the Qur'an based on
ignoring this verse or that verse are infinite, but the interpretations 
fully consistent are more limited.  Let's try to discuss these
interpretations consistent with the text rather than how people can
ignore this bit or that bit, for that is just showing how people can try
to twist Islam for their own ends -- something I do not deny -- but
provides no reflection on the true teachings of Islam whatsoever.",0
379,"



It may be that they just didn't mention it, or that they actually haven't 
thought about it.  I got the vague impression from their mission proposal
that they weren't taking a very holistic aproach to the whole thing.  They
seemed to want to land people on the Moon by the end of the decade without 
explaining why, or what they would do once they got there.  The only application
I remember from the Av Week article was placing a telescope on the Moon.  That's
great, but they don't explain why it can't be done robotically. 



But I'm a _member_.  Besides Bill, I hang out with you :) 
",1
380,"
There was a recession, and none of the potential entrants could raise any
money.  The race organizers were actually supposed to be handling part of
the fundraising, but the less said about that the better.",1
381,"Benedikt Rosenau writes, with great authority:


""Contradictory"" is a property of language.  If I correct this to


      THINGS DEFINED BY CONTRADICTORY LANGUAGE DO NOT EXIST

I will object to definitions as reality.  If you then amend it to

      THINGS DESCRIBED BY CONTRADICTORY LANGUAGE DO NOT EXIST

then we've come to something which is plainly false.  Failures in
description are merely failures in description.

(I'm not an objectivist, remember.)

",0
382,"
The sightings were apparently spurious.  There is no planet inside of
the orbit of Mercury.

The idea of Vulcan came from the differences between Mercury's observed
perihelion precession and the value it should have had according to
Newtonian physics.  Leverrier made an extensive set of observations
and calculations during the mid 19th century, and Simon Newcombe later
improved on the observations and re-calculated using Leverrier's system
of equations.  Now Leverrier was one of the co-discoverers of Neptune
and since he had predicted its existence based on anomalies in the orbit
of Uranus his inclination was to believe the same sort of thing was
afoot with Mercury.

But alas, 'twere not so.  Mercury's perihelion precesses at the rate
it does because the space where it resides near the sun is significantly
curved due to the sun's mass.  This explanation had to wait until 1915
and Albert Einstein's synthesis of his earlier theory of the electrodynamics
of moving bodies (commonly called Special Relativity) with Reimanian 
geometry.  The result was the General Theory of Relativity, and one of
it's most noteworthy strengths is that it accounts for the precession
of Mercury's perihelion almost exactly.  (Exactly if you use Newcomb's
numbers rather than Leverrier's.)

Of course not everybody believes Einstein, and that's fine.  But subsequent
efforts to find any planets closer to the sun than Mercury using radar
have been fruitless.

-Bill Gawne

 ""Forgive him, he is a barbarian, who thinks the customs of his tribe
  are the laws of the universe.""                       - G. J. Caesar",1
383,,1
384,"What is the deal with life on Mars?  I save the ""face"" and heard 
associated theories. (which sound thin to me)

Are we going back to Mars to look at this face agian?
Does anyone buy all the life theories?
",1
